catv,motor,place,catu,secu1,grav
30.0,1.0,1.0,1,2.0,4
30.0,1.0,1.0,1,2.0,4
7.0,1.0,1.0,1,1.0,1
7.0,1.0,10.0,3,2.2467801129881377,3
2.0,1.0,1.0,1,2.0,3
7.0,1.0,1.0,1,1.0,1
7.0,4.0,2.0,2,1.0,1
7.0,4.0,1.0,1,1.0,1
7.0,4.0,1.0,1,1.0,1
7.0,4.0,2.0,2,1.0,4
10.0,1.0,1.0,1,1.0,1
7.0,1.0,1.0,1,1.0,4
7.0,1.0,1.0,1,1.0,1
7.0,1.0,1.0,1,1.0,4
7.0,1.0,1.0,1,1.0,1
7.0,1.0,10.0,3,2.2467801129881377,4
7.0,1.0,1.0,1,1.0,1
10.0,1.4034292182714077,1.0,1,1.0,1
7.0,2.0,4.0,2,1.0,4
7.0,2.0,1.0,1,1.0,1
7.0,1.0,1.0,1,1.0,1
7.0,1.0,4.0,2,1.0,4
7.0,1.0,1.0,1,1.0,1
7.0,2.0,1.0,1,1.0,1
7.0,1.0,4.0,2,1.0,4
7.0,1.0,1.0,1,1.0,1
7.0,2.0,1.0,1,1.0,1
7.0,1.4034292182714077,1.0,1,1.0,1
32.0,1.4034292182714077,1.0,1,2.0,4
7.0,1.4034292182714077,1.0,1,1.0,1
32.0,1.4034292182714077,1.0,1,2.0,4
7.0,1.0,1.0,1,1.0,1
7.0,1.0,10.0,3,2.2467801129881377,4
7.0,1.0,2.0,2,1.0,1
7.0,1.0,1.0,1,1.0,4
7.0,1.0,2.0,2,1.0,4
7.0,1.0,1.0,1,1.0,1
36.0,1.0,1.0,1,1.0,1
33.0,1.0,1.0,1,2.0,4
36.0,1.0,1.0,1,1.0,1
33.0,1.0,1.0,1,2.0,4
10.0,1.0,1.0,1,8.0,1
50.0,3.0,1.0,1,2.0,4
7.0,1.0,1.0,1,1.0,4
7.0,1.0,1.0,1,1.0,1
7.0,1.0,3.0,2,3.0,1
7.0,1.0,2.0,2,1.0,1
7.0,1.0,1.0,1,1.0,4
7.0,2.0,1.0,1,1.0,1
7.0,2.0,2.0,2,1.0,1
7.0,2.0,4.0,2,1.0,1
7.0,1.0,1.0,1,1.0,1
7.0,1.0,2.0,2,1.0,1
7.0,1.0,4.0,2,1.0,4
7.0,1.0,3.0,2,1.0,4
7.0,2.0,1.0,1,1.0,1
7.0,2.0,2.0,2,1.0,1
7.0,2.0,4.0,2,1.0,1
7.0,1.0,1.0,1,1.0,1
7.0,1.0,2.0,2,1.0,1
7.0,1.0,4.0,2,1.0,4
7.0,1.0,3.0,2,1.0,4
1.0,5.0,1.0,1,8.0,4
7.0,1.0,1.0,1,1.0,1
7.0,1.0,1.0,1,8.0,4
7.0,1.0,2.0,2,8.0,3
7.0,1.0,1.0,1,8.0,4
7.0,1.0,1.0,1,8.0,4
7.0,1.0,2.0,2,8.0,3
7.0,1.0,1.0,1,8.0,4
36.0,1.0,2.0,2,1.0,4
36.0,1.0,1.0,1,1.0,1
36.0,1.0,2.0,2,2.0,3
36.0,1.0,1.0,1,2.0,1
31.0,1.0,1.0,1,2.0,1
7.0,1.4034292182714077,1.0,1,1.0,1
2.0,1.0,2.0,2,2.0,4
2.0,1.0,1.0,1,2.0,3
33.0,1.0,1.0,1,2.0,3
7.0,1.0,1.0,1,1.0,1
7.0,1.0,1.0,1,1.0,1
2.0,1.0,1.0,1,2.0,3
3.0,1.0,2.0,2,2.2467801129881377,3
3.0,1.0,1.0,1,1.0,1
